{'opt received': '110', 'loops': '12', 'time': '50', 'opt': '89'}
{'opt received': '110', 'loops': '15', 'time': '63', 'opt': '89'}
{'opt received': '110', 'loops': '15', 'time': '62', 'opt': '88'}
{'opt received': '110', 'loops': '17', 'time': '70', 'opt': '88'}
{'opt received': '110', 'loops': '14', 'time': '59', 'opt': '89'}
{'opt received': '110', 'loops': '15', 'time': '59', 'opt': '89'}
{'opt received': '110', 'loops': '12', 'time': '50', 'opt': '89'}
{'opt received': '110', 'loops': '12', 'time': '49', 'opt': '89'}
{'opt received': '110', 'loops': '14', 'time': '56', 'opt': '88'}
{'opt received': '110', 'loops': '19', 'time': '75', 'opt': '88'}
{'opt received': '110', 'loops': '17', 'time': '65', 'opt': '88'}
{'opt received': '110', 'loops': '12', 'time': '48', 'opt': '89'}
{'opt received': '110', 'loops': '12', 'time': '47', 'opt': '89'}
{'opt received': '110', 'loops': '15', 'time': '60', 'opt': '89'}
{'opt received': '110', 'loops': '18', 'time': '72', 'opt': '88'}
{'opt received': '110', 'loops': '17', 'time': '64', 'opt': '88'}
{'opt received': '110', 'loops': '12', 'time': '53', 'opt': '89'}
{'opt received': '110', 'loops': '13', 'time': '52', 'opt': '89'}
{'opt received': '110', 'loops': '13', 'time': '54', 'opt': '89'}
{'opt received': '110', 'loops': '16', 'time': '66', 'opt': '88'}
