{'opt received': '110', 'loops': '20', 'time': '74', 'opt': '76'}
{'opt received': '110', 'loops': '20', 'time': '78', 'opt': '76'}
{'opt received': '110', 'loops': '17', 'time': '67', 'opt': '76'}
{'opt received': '110', 'loops': '20', 'time': '77', 'opt': '76'}
{'opt received': '110', 'loops': '19', 'time': '75', 'opt': '76'}
{'opt received': '110', 'loops': '13', 'time': '54', 'opt': '77'}
{'opt received': '110', 'loops': '18', 'time': '72', 'opt': '76'}
{'opt received': '110', 'loops': '16', 'time': '78', 'opt': '76'}
{'opt received': '110', 'loops': '17', 'time': '66', 'opt': '76'}
{'opt received': '110', 'loops': '18', 'time': '74', 'opt': '76'}
{'opt received': '110', 'loops': '13', 'time': '52', 'opt': '77'}
{'opt received': '110', 'loops': '16', 'time': '61', 'opt': '77'}
{'opt received': '110', 'loops': '13', 'time': '52', 'opt': '77'}
{'opt received': '110', 'loops': '20', 'time': '75', 'opt': '76'}
{'opt received': '110', 'loops': '12', 'time': '48', 'opt': '77'}
{'opt received': '110', 'loops': '19', 'time': '74', 'opt': '76'}
{'opt received': '110', 'loops': '18', 'time': '71', 'opt': '76'}
{'opt received': '110', 'loops': '19', 'time': '74', 'opt': '76'}
{'opt received': '110', 'loops': '14', 'time': '64', 'opt': '77'}
{'opt received': '110', 'loops': '17', 'time': '71', 'opt': '76'}
