{'opt received': '110', 'loops': '14', 'time': '48', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '53', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '53', 'opt': '72'}
{'opt received': '110', 'loops': '14', 'time': '49', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '54', 'opt': '72'}
{'opt received': '110', 'loops': '13', 'time': '46', 'opt': '72'}
{'opt received': '110', 'loops': '13', 'time': '47', 'opt': '72'}
{'opt received': '110', 'loops': '13', 'time': '48', 'opt': '72'}
{'opt received': '110', 'loops': '14', 'time': '50', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '56', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '52', 'opt': '72'}
{'opt received': '110', 'loops': '13', 'time': '46', 'opt': '72'}
{'opt received': '110', 'loops': '13', 'time': '46', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '52', 'opt': '72'}
{'opt received': '110', 'loops': '17', 'time': '60', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '53', 'opt': '72'}
{'opt received': '110', 'loops': '15', 'time': '53', 'opt': '72'}
{'opt received': '110', 'loops': '14', 'time': '51', 'opt': '72'}
{'opt received': '110', 'loops': '14', 'time': '51', 'opt': '72'}
{'opt received': '110', 'loops': '16', 'time': '58', 'opt': '72'}
