{'opt received': '110', 'loops': '16', 'time': '77', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '95', 'opt': '97'}
{'opt received': '110', 'loops': '16', 'time': '77', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '73', 'opt': '99'}
{'opt received': '110', 'loops': '16', 'time': '76', 'opt': '98'}
{'opt received': '110', 'loops': '18', 'time': '86', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '99', 'opt': '97'}
{'opt received': '110', 'loops': '18', 'time': '86', 'opt': '98'}
{'opt received': '110', 'loops': '17', 'time': '89', 'opt': '98'}
{'opt received': '110', 'loops': '17', 'time': '81', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '70', 'opt': '98'}
{'opt received': '110', 'loops': '16', 'time': '78', 'opt': '98'}
{'opt received': '110', 'loops': '18', 'time': '90', 'opt': '98'}
{'opt received': '110', 'loops': '17', 'time': '82', 'opt': '98'}
{'opt received': '110', 'loops': '14', 'time': '69', 'opt': '98'}
{'opt received': '110', 'loops': '14', 'time': '68', 'opt': '99'}
{'opt received': '110', 'loops': '15', 'time': '73', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '71', 'opt': '98'}
{'opt received': '110', 'loops': '16', 'time': '78', 'opt': '98'}
{'opt received': '110', 'loops': '14', 'time': '66', 'opt': '99'}
