{'opt received': '110', 'loops': '18', 'time': '75', 'opt': '78'}
{'opt received': '110', 'loops': '17', 'time': '71', 'opt': '78'}
{'opt received': '110', 'loops': '16', 'time': '66', 'opt': '78'}
{'opt received': '110', 'loops': '17', 'time': '69', 'opt': '78'}
{'opt received': '110', 'loops': '11', 'time': '46', 'opt': '79'}
{'opt received': '110', 'loops': '19', 'time': '85', 'opt': '78'}
{'opt received': '110', 'loops': '17', 'time': '67', 'opt': '78'}
{'opt received': '110', 'loops': '12', 'time': '54', 'opt': '79'}
{'opt received': '110', 'loops': '15', 'time': '63', 'opt': '78'}
{'opt received': '110', 'loops': '19', 'time': '80', 'opt': '78'}
{'opt received': '110', 'loops': '14', 'time': '58', 'opt': '78'}
{'opt received': '110', 'loops': '17', 'time': '70', 'opt': '78'}
{'opt received': '110', 'loops': '15', 'time': '64', 'opt': '78'}
{'opt received': '110', 'loops': '14', 'time': '57', 'opt': '78'}
{'opt received': '110', 'loops': '14', 'time': '60', 'opt': '79'}
{'opt received': '110', 'loops': '17', 'time': '68', 'opt': '78'}
{'opt received': '110', 'loops': '19', 'time': '86', 'opt': '78'}
{'opt received': '110', 'loops': '18', 'time': '92', 'opt': '78'}
{'opt received': '110', 'loops': '16', 'time': '65', 'opt': '78'}
{'opt received': '110', 'loops': '16', 'time': '67', 'opt': '78'}
