instance&best&mean&time_avg
binary_10_1000&372&377.5&102.4\\ 
binary_10_300&108&113.9&32.4\\ 
binary_10_500&184&189.35&73.35\\ 
binary_10_700&262&264.35&90.5\\ 
binary_10_900&333&339.9&92.25\\ 
binary_20_1000&408&412.25&548.2\\ 
binary_20_300&123&125.4&307.2\\ 
binary_20_500&205&207.65&2064.8\\ 
binary_20_700&286&289.25&496.8\\ 
binary_20_900&368&372.3&1144.6\\ 
binary_30_300&129&130.8&60347.45\\ 
binary_30_500&214&216.05&265686.2\\ 
binary_30_700&300&301.8&107386.0\\ 
binary_30_900&384&386.75&196068.3\\ 
DNA_10_1000&577&580.6&14221.0\\ 
DNA_10_300&171&174.35&1414.25\\ 
DNA_10_500&287&291.1&5072.2\\ 
DNA_10_700&402&407.2&13733.15\\ 
DNA_10_900&518&522.55&18667.15\\ 
DNA_20_300&189&190.7&683918.45\\ 
DNA_20_500&314&316.95&897977.45\\ 
DNA_20_700&441&444.1&900133.05\\ 
DNA_20_900&566&570.6&900210.85\\ 
DNA_30_300&197&199.15&900095.5\\ 
DNA_30_500&334&339.0&900160.05\\ 
DNA_30_700&467&470.8&900157.35\\ 
DNA_30_900&599&608.85&900440.7\\ 
protein_10_300&233&234.75&40818.85\\ 
protein_10_500&390&391.4&60735.45\\ 
protein_10_700&545&548.75&87784.1\\ 
protein_10_900&701&704.4&108387.95\\ 
protein_20_300&252&253.85&900077.05\\ 
protein_20_500&421&423.5&900155.05\\ 
protein_20_700&589&593.6&900235.7\\ 
protein_20_900&758&762.6&900146.7\\ 
protein_30_300&262&263.05&900195.4\\ 
protein_30_500&436&437.5&900125.15\\ 
protein_30_700&609&612.25&900172.1\\ 
protein_30_900&782&785.05&900140.3\\ 
DNA_20_1000&630&633.6&900884.5\\ 
DNA_30_1000&667&678.55&900159.35\\ 
binary_30_1000&427&429.55&289392.55\\ 
protein_10_1000&780&783.0&134204.75\\ 
protein_20_1000&845&850.45&900171.6\\ 
protein_30_1000&867&871.4&900173.65\\ 
